,OBJECTID,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID,ShapeSTAre,ShapeSTLen,geometry,latitude,longitude
0,22832,35180133,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.03,0009.03,35180024,729147.66760974,3810.8387652406172,"POLYGON ((672877.0215999996 4866573.344000001, 672975.5685999999 4866304.4779, 672958.6234999998 4866297.834899999, 672909.9850000003 4866279.7915, 672891.6787 4866273.8796, 672881.8949999996 4866271.1808, 672854.5566999996 4866353.758199999, 672853.2218000004 4866356.945699999, 672851.2593999999 4866359.786699999, 672848.7396999998 4866362.166200001, 672845.7775999997 4866363.9669, 672765.3004000001 4866402.113500001, 672679.2708000001 4866440.7172, 672592.9390000002 4866478.356000001, 672590.5149999997 4866471.469900001, 672574.4595999997 4866436.262700001, 672566.3710000003 4866420.8928, 672559.7531000003 4866410.650699999, 672546.1276000002 4866392.8343, 672529.3986999998 4866373.5825, 672515.5939999996 4866386.725099999, 672473.6924999999 4866420.890000001, 672454.9249999998 4866435.206599999, 672420.3770000003 4866457.492799999, 672388.9877000004 4866473.202199999, 672358.4669000003 4866484.8233, 672339.0148 4866490.631200001, 672323.6146 4866494.7311, 672304.2867000001 4866498.5068, 672262.9008999998 4866502.6336, 672247.1090000002 4866502.676899999, 672173.0913000004 4866502.421, 672122.5422999999 4866501.797700001, 672059.7646000003 4866500.843900001, 672034.0355000002 4866500.8442, 672026.6583000002 4866526.715600001, 672013.8284 4866559.870100001, 671995.2878 4866612.937899999, 671967.7022000002 4866690.344699999, 671942.1754000001 4866764.092900001, 671901.0648999996 4866879.3959, 671863.7703999998 4866985.9147, 671851.3558999998 4867023.025599999, 671837.0607000003 4867069.046, 671818.4040999999 4867133.7601, 671814.9332999997 4867144.9947, 671924.9623999996 4867183.126700001, 671951.1067000004 4867191.9966, 671986.6370999999 4867204.679400001, 672048.5177999996 4867226.7596, 672063.7182 4867225.653899999, 672120.1102999998 4867244.957699999, 672514.8389999997 4867379.863299999, 672521.4968999997 4867388.250600001, 672554.2555 4867399.0514, 672591.5815000003 4867412.382999999, 672595.3481000001 4867401.3104, 672608.1253000004 4867363.0995, 672646.7046999997 4867249.557499999, 672666.4747000001 4867189.889699999, 672729.4451000001 4867004.9858, 672814.2265999997 4866755.585100001, 672877.0215999996 4866573.344000001))",672386.0853107511,4866856.948303544
1,22833,35180135,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.07,0008.07,35180021,324255.37084968,3858.417556995912,"POLYGON ((673708.0577999996 4866716.0746, 673848.5481000002 4866308.6852, 673850.3726000004 4866303.3994, 673852.1205000002 4866290.3014, 673852.5246000001 4866287.273399999, 673852.9058999997 4866271.512499999, 673851.6538000004 4866256.4838, 673849.0451999996 4866243.2017, 673845.0776000004 4866230.27, 673842.0395999998 4866221.7776, 673840.3377 4866216.864700001, 673835.8669999996 4866207.2458, 673830.3931 4866198.154300001, 673824.0290999999 4866189.683499999, 673808.818 4866173.624500001, 673798.7489999998 4866165.212400001, 673787.8487999998 4866157.904200001, 673778.0749000004 4866152.6351, 673757.4677999998 4866144.437100001, 673736.1135999998 4866138.4518, 673673.4571000002 4866124.604900001, 673583.9934 4866104.755100001, 673574.2780999998 4866101.822899999, 673566.9528000001 4866132.7183, 673556.8448999999 4866179.4561, 673556.7011000002 4866182.244000001, 673557.1250999998 4866185.000399999, 673558.1245999997 4866187.6273, 673559.6456000004 4866189.967, 673562.7374 4866192.7839, 673566.5661000004 4866194.494000001, 673612.3622000003 4866203.6307, 673727.4107999997 4866227.7084, 673732.7478999998 4866229.4243, 673737.8852000004 4866231.6844, 673747.3011999996 4866237.7534, 673753.2035999997 4866243.275900001, 673756.3745999997 4866247.3956, 673759.0789000001 4866251.8237, 673761.2933 4866256.4936, 673763.0374999996 4866261.373400001, 673764.2525000004 4866266.419600001, 673765.0927999998 4866275.1755, 673764.665 4866281.012399999, 673763.648 4866286.776799999, 673762.0387000004 4866292.389900001, 673750.6925999997 4866324.959799999, 673717.9563999996 4866420.0418, 673716.5389999999 4866422.9604, 673714.5526000001 4866425.510600001, 673710.6849999996 4866428.443, 673707.6808000002 4866429.663899999, 673696.1503999997 4866430.985400001, 673644.1372999996 4866429.332599999, 673536.0376000004 4866408.072699999, 673369.0894999998 4866379.5606, 673366.4550000001 4866378.9463, 673364.0023999996 4866377.782500001, 673360.9133000001 4866375.169500001, 673359.3667000001 4866372.9394, 673358.0049000001 4866369.123199999, 673357.8766000001 4866365.0644, 673368.0444999998 4866329.8178, 673369.6772999996 4866323.2808, 673375.4205 4866259.757099999, 673378.3465 4866226.2213, 673382.8351999996 4866180.180299999, 673382.7180000003 4866171.5295, 673381.5696 4866156.1302, 673377.0908000004 4866121.0447, 673367.1771999998 4866122.2642, 673361.0202000001 4866122.1383, 673354.9205 4866121.354900001, 673344.7724000001 4866119.011700001, 673338.4046 4866117.0107, 673332.2794000003 4866114.372500001, 673326.4778000005 4866111.074200001, 673324.1531999996 4866109.4246, 673321.0444999998 4866107.221100001, 673315.0795 4866101.916999999, 673310.8335999995 4866097.471999999, 673307.0795 4866092.606000001, 673303.8587999996 4866087.377, 673301.1841000002 4866081.839299999, 673299.1365999999 4866076.0492, 673290.9369000001 4866056.8279, 673265.0823999997 4865996.5351, 673263.8765000002 4865991.334000001, 673262.6069 4865982.777799999, 673262.2152000004 4865974.1313, 673262.7615999999 4865965.508400001, 673265.9999000002 4865945.2097, 673269.7078 4865925.342900001, 673271.1842 4865917.358200001, 673274.7693999996 4865904.0593, 673297.1901000002 4865837.114, 673281.2879999997 4865831.7194, 673266.2718000002 4865825.9804, 673255.0296999998 4865821.2403, 673230.2084999997 4865809.4769, 673219.6036 4865805.232100001, 673159.9088000003 4865783.977399999, 673128.7180000003 4865874.0562, 673093.5960999997 4865974.3259, 673086.4177000001 4865995.142899999, 673080.0102000004 4866013.737199999, 673040.7182999998 4866125.203500001, 673031.1268999996 4866152.3719, 672975.5685999999 4866304.4779, 673294.9051000001 4866552.371099999, 673325.6491 4866542.851500001, 673355.2863999996 4866567.496200001, 673378.5033 4866580.384299999, 673379.0617000004 4866581.4331, 673405.6968999999 4866634.4757, 673508.4593000002 4866644.3466, 673622.1799999997 4866685.1271, 673708.0577999996 4866716.0746))",673383.8975613357,4866307.389309411
2,22834,35180136,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.07,0008.07,35180021,97980.54748682,1344.4900187442952,"POLYGON ((673503.8976999996 4866051.9746, 673499.6744999997 4866046.3191, 673430.3460999997 4866092.9067, 673406.3843 4866108.164899999, 673397.1503999997 4866113.6359, 673385.2531000003 4866118.8357, 673377.0908000004 4866121.0447, 673381.5696 4866156.1302, 673382.7180000003 4866171.5295, 673382.8351999996 4866180.180299999, 673378.3465 4866226.2213, 673375.4205 4866259.757099999, 673369.6772999996 4866323.2808, 673368.0444999998 4866329.8178, 673357.8766000001 4866365.0644, 673358.0049000001 4866369.123199999, 673359.3667000001 4866372.9394, 673360.9133000001 4866375.169500001, 673364.0023999996 4866377.782500001, 673366.4550000001 4866378.9463, 673369.0894999998 4866379.5606, 673536.0376000004 4866408.072699999, 673644.1372999996 4866429.332599999, 673696.1503999997 4866430.985400001, 673707.6808000002 4866429.663899999, 673710.6849999996 4866428.443, 673714.5526000001 4866425.510600001, 673716.5389999999 4866422.9604, 673717.9563999996 4866420.0418, 673750.6925999997 4866324.959799999, 673762.0387000004 4866292.389900001, 673763.648 4866286.776799999, 673764.665 4866281.012399999, 673765.0927999998 4866275.1755, 673764.2525000004 4866266.419600001, 673763.0374999996 4866261.373400001, 673761.2933 4866256.4936, 673759.0789000001 4866251.8237, 673756.3745999997 4866247.3956, 673753.2035999997 4866243.275900001, 673747.3011999996 4866237.7534, 673737.8852000004 4866231.6844, 673732.7478999998 4866229.4243, 673727.4107999997 4866227.7084, 673612.3622000003 4866203.6307, 673566.5661000004 4866194.494000001, 673562.7374 4866192.7839, 673559.6456000004 4866189.967, 673558.1245999997 4866187.6273, 673557.1250999998 4866185.000399999, 673556.7011000002 4866182.244000001, 673556.8448999999 4866179.4561, 673566.9528000001 4866132.7183, 673574.2780999998 4866101.822899999, 673570.1014 4866100.558900001, 673556.7148000002 4866094.917300001, 673544.4221999999 4866088.181299999, 673533.0482000001 4866080.5583, 673522.5465000002 4866071.7929, 673513.0097000003 4866061.973200001, 673503.8976999996 4866051.9746))",673543.9860298628,4866270.493949063
3,22835,35180137,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.07,0008.07,35180021,94628.520906175,1244.3053520493286,"POLYGON ((673275.2056 4865469.569499999, 673261.6040000003 4865465.547900001, 673219.6155000003 4865610.8945, 673159.9088000003 4865783.977399999, 673219.6036 4865805.232100001, 673230.2084999997 4865809.4769, 673255.0296999998 4865821.2403, 673266.2718000002 4865825.9804, 673281.2879999997 4865831.7194, 673297.1901000002 4865837.114, 673372.2413999997 4865862.3741, 673380.5604999997 4865864.335000001, 673389.057 4865865.423599999, 673397.5976999998 4865865.624399999, 673404.6403000001 4865865.1219, 673454.2580000004 4865856.3158, 673450.3876999998 4865834.4735, 673448.0893999999 4865815.819, 673447.8772999998 4865805.5108, 673448.7555999998 4865795.252499999, 673451.2161999997 4865778.2566, 673454.8088999996 4865765.313999999, 673462.3279999997 4865747.1719, 673485.7078 4865693.7324, 673510.3324999996 4865618.421399999, 673526.4155999999 4865567.804199999, 673530.2221999997 4865553.154100001, 673519.8859999999 4865550.8848, 673477.9689999996 4865538.794199999, 673440.1058999998 4865526.533500001, 673321.8805999998 4865486.5066, 673275.2056 4865469.569499999))",673345.2131380398,4865672.182996828
4,22836,35180140,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.06,0008.06,35180028,82415.34742182,2008.0755934736994,"POLYGON ((673425.8841000004 4865067.941500001, 673430.5146000003 4865066.9407, 673457.5954999998 4865070.094900001, 673468.7333000004 4865070.942, 673474.8432 4865071.9563, 673485.2851 4865075.441099999, 673509.7737999996 4865084.9418, 673575.4210999999 4865107.256999999, 673604.6083000004 4865025.137499999, 673659.9441 4865045.1929, 673672.2973999996 4865051.119899999, 673683.9683999997 4865058.2828, 673689.4187000003 4865062.4504, 673703.1213999996 4865074.577099999, 673715.4780000001 4865088.051000001, 673719.7564000003 4865093.352700001, 673728.3568000002 4865105.816099999, 673735.6101000002 4865119.0875, 673736.3722999999 4865121.1866, 673775.6692000004 4865103.0995, 673779.4568999996 4865100.4967, 673782.6047999999 4865097.180500001, 673785.8657 4865091.141799999, 673796.7200999996 4865061.671, 673808.1163999997 4865028.4265, 673830.5855999999 4864963.228, 673831.0471000001 4864959.795299999, 673830.3687000005 4864954.655300001, 673828.1553999996 4864949.959899999, 673824.5641999999 4864946.200300001, 673821.5454000002 4864944.352600001, 673788.2896999996 4864927.187899999, 673726.8635 4864896.4332, 673707.2927000001 4864888.985400001, 673622.9669000003 4864859.4451, 673551.0762 4864835.467700001, 673524.8433999997 4864911.248400001, 673497.2608000003 4864987.729900001, 673450.8551000003 4864971.2106, 673431.5241999999 4864965.059, 673375.6103999997 4865126.4572, 673307.6139000002 4865321.9937, 673378.2484999998 4865347.2158, 673413.7114000004 4865359.123500001, 673423.5212000003 4865332.682600001, 673443.3339 4865276.1073, 673369.7653000001 4865251.0634, 673366.4631000003 4865249.1874, 673363.9006000003 4865246.3773, 673363.2878999999 4865244.807499999, 673362.0582999997 4865241.6603, 673362.3383999998 4865236.4209, 673418.1540999999 4865075.9538, 673419.4104000004 4865073.385199999, 673423.3578000003 4865069.2776, 673425.4463 4865068.173800001, 673425.8841000004 4865067.941500001))",673584.433170907,4865032.745642549
5,22837,35180141,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.06,0008.06,35180028,102553.161735925,1321.7425088242867,"POLYGON ((673715.4780000001 4865088.051000001, 673703.1213999996 4865074.577099999, 673689.4187000003 4865062.4504, 673683.9683999997 4865058.2828, 673672.2973999996 4865051.119899999, 673659.9441 4865045.1929, 673604.6083000004 4865025.137499999, 673575.4210999999 4865107.256999999, 673509.7737999996 4865084.9418, 673485.2851 4865075.441099999, 673474.8432 4865071.9563, 673468.7333000004 4865070.942, 673457.5954999998 4865070.094900001, 673430.5146000003 4865066.9407, 673425.8841000004 4865067.941500001, 673425.4463 4865068.173800001, 673423.3578000003 4865069.2776, 673419.4104000004 4865073.385199999, 673418.1540999999 4865075.9538, 673362.3383999998 4865236.4209, 673362.0582999997 4865241.6603, 673363.2878999999 4865244.807499999, 673363.9006000003 4865246.3773, 673366.4631000003 4865249.1874, 673369.7653000001 4865251.0634, 673443.3339 4865276.1073, 673423.5212000003 4865332.682600001, 673413.7114000004 4865359.123500001, 673524.5976999998 4865396.0155, 673554.1756999996 4865404.114800001, 673567.3521999996 4865406.237299999, 673580.6694999998 4865406.986099999, 673593.9984999998 4865406.322000001, 673599.4386999998 4865405.6547, 673615.1199000003 4865401.684800001, 673630.3119000001 4865396.105699999, 673645.3415000001 4865389.4859, 673656.6913999999 4865383.380000001, 673666.9737 4865376.3912, 673675.2227999996 4865370.294600001, 673682.8114 4865363.3693, 673689.625 4865355.6897, 673695.1840000004 4865347.978499999, 673700.2660999997 4865338.962400001, 673704.3934000004 4865329.468800001, 673740.6758000003 4865225.5417, 673744.4702000003 4865210.181399999, 673745.8454 4865200.2708, 673746.7596000005 4865192.947000001, 673747.2571 4865177.3902, 673746.0883999998 4865161.864700001, 673743.5864000004 4865145.1493, 673739.6951000001 4865130.297, 673736.3722999999 4865121.1866, 673735.6101000002 4865119.0875, 673728.3568000002 4865105.816099999, 673719.7564000003 4865093.352700001, 673715.4780000001 4865088.051000001))",673566.5802338243,4865221.838642475
6,22838,35180142,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.05,0008.05,35180028,754746.109336645,5364.286678265465,"POLYGON ((674685.9463 4864341.153899999, 674692.1824000003 4864338.9858, 674698.7207000004 4864338.145300001, 674702.0280999998 4864338.2433, 674743.7251000004 4864343.6205, 674773.6804999998 4864348.813899999, 674841.8518000003 4864360.367900001, 674913.6551000001 4864373.422800001, 675019.9993000003 4864392.9341, 675024.8733000001 4864382.9593, 675028.5109000001 4864373.2731, 675043.4994000001 4864329.0987, 675063.7762000002 4864266.5582, 675101.3848000001 4864158.9748, 675124.4776999997 4864090.2491, 675137.8997 4864052.080399999, 675138.3137999997 4864049.235300001, 675138.1321999999 4864046.375700001, 675137.3448000001 4864043.619999999, 675136.0208000001 4864041.0832, 675130.6897 4864036.3979, 675077.7673000004 4864014.4608, 675024.0285999998 4863993.0799, 674913.6919 4863952.8552, 674930.3493999997 4863899.867900001, 674941.6775000002 4863862.143200001, 674948.6908999998 4863830.905999999, 674956.8705000002 4863784.6305, 674966.3446000004 4863718.5593, 674860.0481000002 4863702.8609, 674837.2000000002 4863700.8687, 674818.9314999999 4863699.999299999, 674801.0698999995 4863700.2512, 674777.8156000003 4863701.7611, 674751.3503999999 4863704.932399999, 674730.7196000004 4863766.0306, 674696.6320000002 4863861.7609, 674682.8985000001 4863898.977499999, 674681.4842999997 4863901.6768, 674679.6645999998 4863903.858899999, 674679.5362 4863904.012700001, 674676.1546 4863906.425899999, 674675.8252999997 4863906.6613, 674671.4913999997 4863908.014699999, 674666.9611 4863907.950300001, 674657.1113 4863904.7567, 674652.1957 4863903.4704, 674647.1463000001 4863902.716399999, 674642.0658 4863902.481699999, 674636.9946999997 4863902.770400001, 674632.0001999997 4863903.561899999, 674600.4880999997 4863910.724199999, 674568.4698999999 4863919.4056, 674531.4675000003 4863928.558599999, 674527.7364999996 4863929.2269, 674522.7928999998 4863929.6401, 674517.8443999998 4863929.5547, 674512.9102999996 4863928.936000001, 674508.0871000001 4863927.831599999, 674469.2582 4863912.603700001, 674460.7344000004 4863933.8642, 674452.7916000001 4863951.7728, 674445.5003000004 4863969.5636, 674431.8776000002 4864009.062100001, 674417.0481000002 4864050.742699999, 674412.0674000001 4864065.7377, 674374.2092000004 4864050.1808, 674334.6703000003 4864035.4384, 674252.6010999996 4864005.6394, 674221.4642000003 4863994.261299999, 674198.3602999998 4863984.818499999, 674140.3509999998 4863958.8312, 674087.7718000002 4863935.689099999, 674072.8528000005 4863929.493899999, 673928.3563000001 4863879.3013, 673821.4155999999 4863842.929099999, 673816.3054 4863861.012499999, 673785.2901999997 4863947.6709, 673762.0466999998 4864015.6291, 673737.2695000004 4864085.6895, 673706.3876 4864172.886399999, 673674.2993000001 4864267.7862, 673646.8410999998 4864345.779200001, 673632.1649000002 4864382.785399999, 673617.1370999999 4864432.0063, 673644.7785 4864439.8868, 673670.2132000001 4864448.923699999, 673694.4615000002 4864458.7936, 673750.2992000002 4864478.2862, 673897.2012999998 4864530.0744, 673989.4989 4864562.0932, 674021.8821 4864572.6679, 674052.1701999996 4864579.610300001, 674060.4987000003 4864556.6987, 674075.1305999998 4864512.0474, 674080.2236000001 4864492.186799999, 674085.3827999998 4864473.793099999, 674098.4567999998 4864435.1796, 674106.5345999999 4864412.452500001, 674183.5302999998 4864194.2612, 674184.7202000003 4864191.781199999, 674186.3508000001 4864189.667300001, 674187.9365999997 4864188.075200001, 674188.0014000004 4864188.0096, 674189.6288999999 4864187.2303, 674190.4329000004 4864186.841, 674194.6234999998 4864185.794600001, 674198.5933999997 4864186.1193, 674231.3519000001 4864198.0505, 674237.9321999997 4864202.047800001, 674240.9804999996 4864204.372500001, 674246.2681999998 4864209.903200001, 674248.4517999999 4864213.051100001, 674251.7814999996 4864219.9516, 674252.8737000003 4864223.6259, 674253.6026999997 4864229.2335, 674253.7825999996 4864258.737299999, 674254.6392000001 4864284.2247, 674255.9266999997 4864296.994899999, 674258.1140999999 4864306.999700001, 674259.5242999997 4864315.3738, 674266.9100000001 4864339.497500001, 674274.5029999996 4864357.870100001, 674282.6425000001 4864372.2752, 674299.5038999999 4864398.070900001, 674320.1683999998 4864430.8265, 674330.6841000002 4864451.3309, 674332.5395999998 4864456.292199999, 674334.3163999999 4864462.9396, 674335.4156999998 4864469.7491, 674335.7812000001 4864476.628799999, 674335.4316999996 4864483.5098, 674332.6013000002 4864506.231699999, 674330.1633000001 4864531.0627, 674328.6469999999 4864540.1272, 674326.1156000001 4864549.386399999, 674322.6239999998 4864558.3422, 674316.9611999998 4864570.772700001, 674314.4567 4864578.420499999, 674312.7548000002 4864585.9233, 674310.9656999996 4864596.212200001, 674309.5654999996 4864609.172800001, 674357.4515000004 4864614.1938, 674394.5486000003 4864618.0836, 674464.0077 4864626.3466, 674554.6339999996 4864635.7136, 674576.1945000002 4864639.5143, 674595.5597000001 4864644.3927, 674626.8181999996 4864653.986199999, 674649.7170000002 4864589.044600001, 674563.7528999997 4864561.6293, 674561.3448000001 4864560.0206, 674559.3187999995 4864557.9341, 674557.7741999999 4864555.479699999, 674556.7702000001 4864552.765799999, 674556.3629999999 4864549.898700001, 674556.5614999998 4864546.9904, 674559.0905999998 4864539.4005, 674569.1051000003 4864510.3313, 674571.6568 4864503.464, 674577.0752999997 4864488.911900001, 674580.1990999999 4864481.6603, 674586.7111 4864471.8268, 674614.1490000002 4864434.0272, 674640.9899000004 4864396.0659, 674663.3354000002 4864365.510199999, 674676.3618999999 4864348.1362, 674677.7806000002 4864346.719000001, 674683.0367000001 4864342.723999999, 674685.9463 4864341.153899999))",674385.1548808761,4864187.964639371
7,22839,35180128,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.03,0009.03,35180024,49134.526364985,1029.8719690644782,"POLYGON ((672638.2116999999 4865783.847999999, 672649.6155000003 4865751.655300001, 672567.7180000003 4865720.459000001, 672563.4923999999 4865734.3642, 672557.1078000003 4865752.8035, 672552.5411 4865764.5988, 672550.2818 4865768.986400001, 672547.5798000004 4865773.1075, 672544.4619000005 4865776.9375, 672540.9486999996 4865780.401699999, 672537.1098999996 4865783.4933, 672533.4713000003 4865785.5865, 672529.6775000002 4865787.244999999, 672525.7313000001 4865788.499500001, 672521.6777999997 4865789.3477, 672517.5516999997 4865789.7633, 672513.4097999996 4865789.7446, 672509.2918999996 4865789.293, 672505.2407 4865788.4092, 672466.8823999995 4865774.550100001, 672462.3086000001 4865774.010500001, 672459.2781999996 4865774.441199999, 672456.3989000004 4865775.4889, 672454.0898000002 4865776.896400001, 672433.6767999995 4865795.7278, 672410.2034999998 4865818.9125, 672367.0416000001 4865860.2245, 672360.1710999999 4865867.4824, 672330.7448000005 4865904.895500001, 672309.9123 4865932.772399999, 672294.1818000004 4865956.6939, 672290.8832999999 4865962.464, 672325.2847999996 4865990.0668, 672342.3272000002 4866005.6482, 672387.9521000003 4866051.991800001, 672443.1778999995 4865998.334100001, 672454.6607999997 4865985.1624, 672477.0802999996 4865962.0514, 672513.9231000002 4865926.097899999, 672599.8969999999 4865838.989, 672619.1743999999 4865820.251599999, 672623.3706 4865815.4605, 672627.0491000004 4865810.254699999, 672631.2388000004 4865802.3935, 672638.2116999999 4865783.847999999))",672462.8326543132,4865881.624078225
8,22840,35180129,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.03,0009.03,35180024,173786.078533275,2016.6192750976447,"POLYGON ((672456.3989000004 4865775.4889, 672459.2781999996 4865774.441199999, 672462.3086000001 4865774.010500001, 672466.8823999995 4865774.550100001, 672505.2407 4865788.4092, 672509.2918999996 4865789.293, 672513.4097999996 4865789.7446, 672517.5516999997 4865789.7633, 672521.6777999997 4865789.3477, 672525.7313000001 4865788.499500001, 672529.6775000002 4865787.244999999, 672533.4713000003 4865785.5865, 672537.1098999996 4865783.4933, 672540.9486999996 4865780.401699999, 672544.4619000005 4865776.9375, 672547.5798000004 4865773.1075, 672550.2818 4865768.986400001, 672552.5411 4865764.5988, 672557.1078000003 4865752.8035, 672563.4923999999 4865734.3642, 672567.7180000003 4865720.459000001, 672568.9482000005 4865716.078500001, 672578.9850000003 4865664.3795, 672582.3601000002 4865645.2289, 672610.5751999998 4865542.731699999, 672615.7918999996 4865530.952500001, 672622.5888 4865521.417099999, 672627.7609000001 4865515.916200001, 672633.4790000003 4865510.9866, 672639.6900000004 4865506.680500001, 672646.3084000004 4865503.0275, 672653.2677999996 4865500.099300001, 672658.5427999999 4865498.4231, 672701.4949000003 4865488.8946, 672752.8556000004 4865477.4847, 672753.1108999997 4865463.632099999, 672754.9393999996 4865449.5637, 672758.2252000002 4865435.7686, 672779.5625 4865372.850099999, 672803.3742000004 4865303.859200001, 672736.7681999998 4865281.2293, 672708.1047999999 4865271.1019, 672699.7460000003 4865268.1489, 672667.7280000001 4865256.8445, 672566.8716000002 4865221.343, 672480.5230999999 4865191.408199999, 672474.2714999998 4865223.8223, 672470.3958999999 4865239.4607, 672456.4713000003 4865283.711300001, 672443.6738999998 4865322.8224, 672387.9834000003 4865483.221799999, 672367.6683999998 4865541.8565, 672270.2373000002 4865821.595699999, 672265.3141999999 4865835.6949, 672250.6551000001 4865877.7059, 672330.7448000005 4865904.895500001, 672360.1710999999 4865867.4824, 672367.0416000001 4865860.2245, 672410.2034999998 4865818.9125, 672433.6767999995 4865795.7278, 672454.0898000002 4865776.896400001, 672456.3989000004 4865775.4889))",672515.1033511892,4865519.975055585
9,22841,35180130,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.02,0009.02,35180030,222653.299641325,2236.9114524836373,"POLYGON ((672798.3832999999 4865061.344599999, 672807.0998999998 4865029.019099999, 672878.2703 4865053.4925, 672882.7573999995 4865053.709899999, 672885.9654000001 4865052.659499999, 672888.7100999998 4865050.6624, 672890.1288999999 4865048.899, 672891.1544000003 4865046.8916, 672904.4781999998 4865010.717, 672911.5493000001 4864989.0404, 672938.6119999997 4864912.3104, 672947.5275999997 4864885.538000001, 672948.0854000002 4864880.484200001, 672947.8038999997 4864878.3749, 672946.5702999998 4864875.441299999, 672944.5042000003 4864873.021400001, 672942.7285000002 4864871.8177, 672909.2337999996 4864860.051200001, 672877.6480999999 4864847.6021, 672886.9117000001 4864832.4726, 672890.1848999998 4864827.711999999, 672896.8052000003 4864816.304099999, 672902.2051999997 4864804.253599999, 672909.7521000002 4864775.5286, 672927.1960000005 4864702.483200001, 672935.9649 4864668.2015, 672948.1503999997 4864619.3267, 672957.6573999999 4864585.644099999, 672930.4017000003 4864575.873600001, 672888.7637 4864561.5272, 672873.0645000003 4864556.5277, 672841.8921999997 4864546.601399999, 672798.9735000003 4864531.135, 672760.6487999996 4864515.943299999, 672740.7898000004 4864510.0229, 672712.6478000004 4864503.3443, 672696.6160000004 4864552.7853, 672683.4974999996 4864588.8226, 672630.4907999998 4864740.431399999, 672612.4472000003 4864791.2777, 672547.9844000004 4864975.343900001, 672506.7328000003 4865095.604800001, 672494.3596000001 4865135.130100001, 672488.4534999998 4865155.259400001, 672484.5559999999 4865170.4618, 672480.5230999999 4865191.408199999, 672566.8716000002 4865221.343, 672667.7280000001 4865256.8445, 672699.7460000003 4865268.1489, 672708.1047999999 4865271.1019, 672736.7681999998 4865281.2293, 672803.3742000004 4865303.859200001, 672827.3136 4865235.2314, 672830.1821999997 4865223.7796, 672832.0952000003 4865209.236199999, 672832.3420000002 4865199.739600001, 672831.5691999998 4865190.2709, 672829.8288000003 4865180.945599999, 672819.8991999999 4865155.3784, 672815.0779999997 4865144.616800001, 672802.1226000004 4865115.448899999, 672797.4371999996 4865097.955499999, 672796.1869000001 4865089.552300001, 672795.8283000002 4865081.0733, 672796.6101000002 4865071.1906, 672798.3832999999 4865061.344599999))",672735.3553414884,4864911.570157002
