OBJECTID,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID,ShapeSTArea,ShapeSTLength
22832,35180133,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.03,0009.03,35180024,729147.66760974,3810.83876524062
22833,35180135,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.07,0008.07,35180021,324255.37084968,3858.41755699591
22834,35180136,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.07,0008.07,35180021,97980.54748682,1344.4900187443
22835,35180137,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.07,0008.07,35180021,94628.520906175,1244.30535204933
22836,35180140,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.06,0008.06,35180028,82415.34742182,2008.0755934737
22837,35180141,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.06,0008.06,35180028,102553.161735925,1321.74250882429
22838,35180142,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320008.05,0008.05,35180028,754746.109336645,5364.28667826546
22839,35180128,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.03,0009.03,35180024,49134.526364985,1029.87196906448
22840,35180129,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.03,0009.03,35180024,173786.078533275,2016.61927509764
22841,35180130,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.02,0009.02,35180030,222653.299641325,2236.91145248364
22842,35180131,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.03,0009.03,35180024,187578.283363245,1982.82534885317
22843,35180132,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.03,0009.03,35180024,114804.366435725,1597.20189406893
22844,35180584,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350810.04,0810.04,35180070,105677.921779015,1302.86940644756
22845,35180585,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350810.04,0810.04,35180070,93435.07811658,1252.6214095822
22846,35180586,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350811.00,0811.00,35182006,3028319.42947849,11087.0042626803
22847,35180587,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350811.00,0811.00,35182006,47363.86629693,998.662834528618
22848,35180588,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350811.00,0811.00,35182006,231372.12973902,2451.51782743339
22849,35180589,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350811.00,0811.00,35182006,137255.190172205,1797.6677986141
22850,35180590,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350811.00,0811.00,35182006,145142.969291985,1791.65640752213
22851,35180830,35,Ontario,3518,Durham,RM,3518017,Clarington,3518017,Clarington,MU,3530,Toronto,532,1,532,35532,Oshawa,B,5320203.04,0203.04,35180014,1144081.51412298,4801.07855581153
22852,35180831,35,Ontario,3518,Durham,RM,3518017,Clarington,3518017,Clarington,MU,3530,Toronto,532,1,532,35532,Oshawa,B,5320203.04,0203.04,35180014,681124.74284517,3335.07874103725
22853,35180832,35,Ontario,3518,Durham,RM,3518017,Clarington,3518017,Clarington,MU,3530,Toronto,532,1,532,35532,Oshawa,B,5320203.04,0203.04,35180014,151745.02275418,1627.88796618036
22854,35180736,35,Ontario,3518,Durham,RM,3518017,Clarington,3518017,Clarington,MU,3530,Toronto,532,1,532,35532,Oshawa,B,5320204.00,0204.00,35180022,1111145.05893241,5463.44756721904
22855,35180737,35,Ontario,3518,Durham,RM,3518017,Clarington,3518017,Clarington,MU,3530,Toronto,532,1,532,35532,Oshawa,B,5320203.02,0203.02,35180017,838323.445592505,4136.27060934098
22856,35180738,35,Ontario,3518,Durham,RM,3518017,Clarington,3518017,Clarington,MU,3530,Toronto,532,1,532,35532,Oshawa,B,5320204.00,0204.00,35180022,146386.131008435,2031.01121996881
22857,35180739,35,Ontario,3518,Durham,RM,3518017,Clarington,3518017,Clarington,MU,3530,Toronto,532,1,532,35532,Oshawa,B,5320204.00,0204.00,35180022,539275.82708528,4697.37285831861
22858,35180762,35,Ontario,3518,Durham,RM,3518020,Scugog,3518020,Scugog,TP,3530,Toronto,996,4, , , , , , ,35180002,34665845.5062467,29448.0980444927
22859,35180767,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320002.02,0002.02,35180050,84023.93251986,1537.30569831478
22860,35180768,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320002.02,0002.02,35180050,45286.27848899,852.103962114819
22861,35180769,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.01,0003.01,35180043,104387.642250845,1744.39613306951
22862,35180770,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.01,0003.01,35180043,96830.87711258,1497.46340394344
22863,35180771,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.01,0003.01,35180043,106176.313849575,1722.81304616977
22864,35180772,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320003.01,0003.01,35180043,165546.83447512,1754.22379248889
22865,35180773,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320004.02,0004.02,35180037,442937.218302155,2768.609989026
22866,35180774,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320004.02,0004.02,35180037,138354.190007175,1646.66262854355
22867,35180775,35,Ontario,3518,Durham,RM,3518013,Oshawa,3518013,Oshawa,CY,3530,Toronto,532,1,532,35532,Oshawa,B,5320009.01,0009.01,35180035,143676.56914735,1907.99614055786
22868,35180806,35,Ontario,3518,Durham,RM,3518029,Uxbridge,3518029,Uxbridge,TP,3530,Toronto,535,1,535,35535,Toronto,B,5350831.02,0831.02,35180009,7007605.19325722,11468.3590612967
22869,35180807,35,Ontario,3518,Durham,RM,3518029,Uxbridge,3518029,Uxbridge,TP,3530,Toronto,535,1,535,35535,Toronto,B,5350831.01,0831.01,35180008,579407.65655053,3287.88260935845
22870,35180833,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350810.04,0810.04,35180070,149899.11101802,2188.79668335658
22871,35180834,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350810.04,0810.04,35180070,496084.443299245,3931.55533302769
22872,35180835,35,Ontario,3518,Durham,RM,3518009,Whitby,3518009,Whitby,T,3530,Toronto,532,1,532,35532,Oshawa,B,5320105.10,0105.10,35180033,156362.36015279,1814.47505982406
22873,35180836,35,Ontario,3518,Durham,RM,3518009,Whitby,3518009,Whitby,T,3530,Toronto,532,1,532,35532,Oshawa,B,5320105.10,0105.10,35180033,95220.73495303,3334.64022265973
22874,35180808,35,Ontario,3518,Durham,RM,3518009,Whitby,3518005,Ajax,T,3530,Toronto,535,1,535,35535,Toronto,B,5350820.03,0820.03,35180062,471361.188116175,4273.67374716817
